user_ID,mv_ID,Rating
62,14,9
2,19,8
90,6,5
50,15,1
80,11,9
25,1,7
18,16,2
33,5,6
51,3,5
38,2,7
21,4,10
7,7,6
10,2,9
72,1,8
68,8,9
8,16,1
10,16,10
54,14,5
15,20,7
81,14,5
69,15,1
46,8,10
32,15,7
75,19,8
71,6,6
53,7,9
74,14,7
74,8,5
58,12,8
61,18,5
53,4,10
38,14,8
16,12,9
35,13,6
68,16,8
70,16,10
37,4,4
68,15,9
34,11,9
39,7,9
34,15,10
31,5,7
54,12,9
22,12,4
15,4,8
69,17,8
8,12,10
69,6,5
22,1,8
3,20,7
86,20,9
68,5,7
5,16,8
79,17,9
51,12,7
2,6,10
80,2,9
71,8,6
31,17,7
41,3,5
23,19,8
16,20,1
23,3,5
51,8,7
50,8,8
90,2,7
59,1,7
40,3,7
73,13,7
40,12,10
48,5,9
67,3,2
58,7,2
67,15,3
28,1,9
24,17,10
86,17,7
26,8,9
22,3,5
51,20,5
68,18,10
53,16,9
64,16,7
81,18,7
79,9,8
47,9,8
33,2,10
71,12,5
11,13,4
37,3,7
59,20,8
23,11,8
10,5,10
39,2,9
9,18,8
27,20,4
81,17,5
36,1,8
48,15,10
56,19,9
28,13,1
81,16,5
34,3,7
89,15,8
55,4,9
44,5,9
77,12,9
68,4,7
61,8,3
59,4,9
14,18,8
52,9,7
81,10,5
4,7,7
63,8,6
40,16,10
36,4,10
56,7,7
81,11,5
38,13,8
82,14,7
4,4,5
17,11,5
27,12,10
67,11,6
20,20,2
17,2,5
31,15,8
37,2,6
86,12,5
37,15,7
1,17,1
2,17,10
28,16,10
57,13,6
69,11,9
31,16,8
41,5,7
4,10,5
3,6,9
32,5,6
27,5,10
11,10,3
44,13,10
57,4,9
